player1,player2,ranking_1,ranking_2,surface,tournament,match_date,winner,winrate_1,winrate_2
Novak Djokovic,Rafael Nadal,2.0,1.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,79.41176470588235
Roberto Bautista Agut,Dusan Lajovic,10.0,34.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,46.666666666666664
Novak Djokovic,Daniil Medvedev,2.0,5.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,73.68421052631578
Dusan Lajovic,Karen Khachanov,34.0,17.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,57.14285714285714
Dusan Lajovic,Karen Khachanov,34.0,17.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,57.14285714285714
Rafael Nadal,Alex De Minaur,1.0,18.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,56.52173913043478
Roberto Bautista Agut,Nick Kyrgios,10.0,29.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,66.66666666666666
Novak Djokovic,Denis Shapovalov,2.0,14.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,53.125
Dusan Lajovic,Felix Auger Aliassime,34.0,21.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,54.761904761904766
Daniil Medvedev,Diego Schwartzman,5.0,13.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,60.97560975609756
Daniil Medvedev,Diego Schwartzman,5.0,13.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,60.97560975609756
Daniil Medvedev,Diego Schwartzman,5.0,13.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,60.97560975609756
Karen Khachanov,Guido Pella,17.0,25.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,41.17647058823529
Daniel Evans,Alex De Minaur,42.0,18.0,Hard,Atp Cup,2020-01-06,0,57.57575757575758,56.52173913043478
Nick Kyrgios,Cameron Norrie,29.0,52.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,40.909090909090914
David Goffin,Rafael Nadal,11.0,1.0,Hard,Atp Cup,2020-01-06,0,52.17391304347826,79.41176470588235
Roberto Bautista Agut,Kimmer Coppejans,10.0,158.0,Hard,Atp Cup,2020-01-06,0,,
Novak Djokovic,Gael Monfils,2.0,9.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,69.56521739130434
Novak Djokovic,Gael Monfils,2.0,9.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,69.56521739130434
Benoit Paire,Dusan Lajovic,24.0,34.0,Hard,Atp Cup,2020-01-06,0,43.47826086956522,46.666666666666664
Novak Djokovic,Kevin Anderson,2.0,147.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,50.0
Dusan Lajovic,Lloyd Harris,34.0,99.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,50.0
Novak Djokovic,Cristian Garin,2.0,33.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,60.0
Dusan Lajovic,Nicolas Jarry,34.0,77.0,Hard,Atp Cup,2020-01-06,0,,
Kevin Anderson,Benoit Paire,147.0,24.0,Hard,Atp Cup,2020-01-06,0,50.0,43.47826086956522
Gilles Simon,Lloyd Harris,57.0,99.0,Hard,Atp Cup,2020-01-06,0,47.82608695652174,50.0
Gael Monfils,Cristian Garin,9.0,33.0,Hard,Atp Cup,2020-01-06,0,69.56521739130434,60.0
Benoit Paire,Nicolas Jarry,24.0,77.0,Hard,Atp Cup,2020-01-06,0,,
Kevin Anderson,Cristian Garin,147.0,33.0,Hard,Atp Cup,2020-01-06,0,50.0,60.0
Lloyd Harris,Nicolas Jarry,99.0,77.0,Hard,Atp Cup,2020-01-06,0,,
Rafael Nadal,Yoshihito Nishioka,1.0,72.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,53.84615384615385
Roberto Bautista Agut,Go Soeda,10.0,119.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,33.33333333333333
Rafael Nadal,Nikoloz Basilashvili,1.0,26.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,23.52941176470588
Roberto Bautista Agut,Aleksandre Metreveli,10.0,678.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,25.0
Rafael Nadal,Pablo Cuevas,1.0,45.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,36.36363636363637
Roberto Bautista Agut,Franco Roncadelli,10.0,,Hard,Atp Cup,2020-01-06,0,,
Yoshihito Nishioka,Nikoloz Basilashvili,72.0,26.0,Hard,Atp Cup,2020-01-06,0,53.84615384615385,23.52941176470588
Go Soeda,Aleksandre Metreveli,119.0,678.0,Hard,Atp Cup,2020-01-06,0,33.33333333333333,25.0
Yoshihito Nishioka,Pablo Cuevas,72.0,45.0,Hard,Atp Cup,2020-01-06,0,53.84615384615385,36.36363636363637
Go Soeda,Martin Cuevas,119.0,523.0,Hard,Atp Cup,2020-01-06,0,,
Nikoloz Basilashvili,Pablo Cuevas,26.0,45.0,Hard,Atp Cup,2020-01-06,0,23.52941176470588,36.36363636363637
Aleksandre Metreveli,Franco Roncadelli,678.0,,Hard,Atp Cup,2020-01-06,0,,
Daniel Evans,David Goffin,42.0,11.0,Hard,Atp Cup,2020-01-06,0,57.57575757575758,52.17391304347826
Steve Darcis,Cameron Norrie,200.0,52.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,40.909090909090914
David Goffin,Grigor Dimitrov,11.0,20.0,Hard,Atp Cup,2020-01-06,0,52.17391304347826,63.33333333333333
Dimitar Kuzmanov,Steve Darcis,417.0,200.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,66.66666666666666
David Goffin,Radu Albot,11.0,46.0,Hard,Atp Cup,2020-01-06,0,52.17391304347826,35.0
Steve Darcis,Alexander Cozbinov,200.0,816.0,Hard,Atp Cup,2020-01-06,0,,
Grigor Dimitrov,Daniel Evans,20.0,42.0,Hard,Atp Cup,2020-01-06,0,63.33333333333333,57.57575757575758
Cameron Norrie,Dimitar Kuzmanov,52.0,417.0,Hard,Atp Cup,2020-01-06,0,40.909090909090914,66.66666666666666
Daniel Evans,Radu Albot,42.0,46.0,Hard,Atp Cup,2020-01-06,0,57.57575757575758,35.0
Cameron Norrie,Alexander Cozbinov,52.0,816.0,Hard,Atp Cup,2020-01-06,0,,
Grigor Dimitrov,Radu Albot,20.0,46.0,Hard,Atp Cup,2020-01-06,0,63.33333333333333,35.0
Dimitar Kuzmanov,Alexander Cozbinov,417.0,816.0,Hard,Atp Cup,2020-01-06,0,,
Daniil Medvedev,Fabio Fognini,5.0,12.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,33.33333333333333
Karen Khachanov,Stefano Travaglia,17.0,82.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,37.5
Daniil Medvedev,John Isner,5.0,19.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,50.0
Karen Khachanov,Taylor Fritz,17.0,31.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,48.275862068965516
Daniil Medvedev,Casper Ruud,5.0,53.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,62.857142857142854
Karen Khachanov,Viktor Durasovic,17.0,329.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,25.0
Fabio Fognini,John Isner,12.0,19.0,Hard,Atp Cup,2020-01-06,0,33.33333333333333,50.0
Stefano Travaglia,Taylor Fritz,82.0,31.0,Hard,Atp Cup,2020-01-06,0,37.5,48.275862068965516
Stefano Travaglia,Taylor Fritz,82.0,31.0,Hard,Atp Cup,2020-01-06,0,37.5,48.275862068965516
Casper Ruud,Fabio Fognini,53.0,12.0,Hard,Atp Cup,2020-01-06,0,62.857142857142854,33.33333333333333
Casper Ruud,Fabio Fognini,53.0,12.0,Hard,Atp Cup,2020-01-06,0,62.857142857142854,33.33333333333333
Stefano Travaglia,Viktor Durasovic,82.0,329.0,Hard,Atp Cup,2020-01-06,0,37.5,25.0
Casper Ruud,John Isner,53.0,19.0,Hard,Atp Cup,2020-01-06,0,62.857142857142854,50.0
Taylor Fritz,Viktor Durasovic,31.0,329.0,Hard,Atp Cup,2020-01-06,0,48.275862068965516,25.0
Borna Coric,Dominic Thiem,28.0,4.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,73.52941176470588
Marin Cilic,Dennis Novak,38.0,105.0,Hard,Atp Cup,2020-01-06,0,55.55555555555556,33.33333333333333
Dominic Thiem,Diego Schwartzman,4.0,13.0,Hard,Atp Cup,2020-01-06,0,73.52941176470588,60.97560975609756
Dennis Novak,Guido Pella,105.0,25.0,Hard,Atp Cup,2020-01-06,0,33.33333333333333,41.17647058823529
Hubert Hurkacz,Dominic Thiem,37.0,4.0,Hard,Atp Cup,2020-01-06,0,53.57142857142857,73.52941176470588
Kacper Zuk,Dennis Novak,448.0,105.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,33.33333333333333
Diego Schwartzman,Borna Coric,13.0,28.0,Hard,Atp Cup,2020-01-06,0,60.97560975609756,57.14285714285714
Guido Pella,Marin Cilic,25.0,38.0,Hard,Atp Cup,2020-01-06,0,41.17647058823529,55.55555555555556
Hubert Hurkacz,Borna Coric,37.0,28.0,Hard,Atp Cup,2020-01-06,0,53.57142857142857,57.14285714285714
Marin Cilic,Kacper Zuk,38.0,448.0,Hard,Atp Cup,2020-01-06,0,55.55555555555556,66.66666666666666
Hubert Hurkacz,Diego Schwartzman,37.0,13.0,Hard,Atp Cup,2020-01-06,0,53.57142857142857,60.97560975609756
Guido Pella,Kamil Majchrzak,25.0,97.0,Hard,Atp Cup,2020-01-06,0,,
Stefanos Tsitsipas,Alexander Zverev,6.0,7.0,Hard,Atp Cup,2020-01-06,0,68.18181818181817,71.7948717948718
Jan Lennard Struff,Michail Pervolarakis,35.0,486.0,Hard,Atp Cup,2020-01-06,0,,
Denis Shapovalov,Alexander Zverev,14.0,7.0,Hard,Atp Cup,2020-01-06,0,53.125,71.7948717948718
Jan Lennard Struff,Felix Auger Aliassime,35.0,21.0,Hard,Atp Cup,2020-01-06,0,50.0,54.761904761904766
Alex De Minaur,Alexander Zverev,18.0,7.0,Hard,Atp Cup,2020-01-06,0,56.52173913043478,71.7948717948718
Nick Kyrgios,Jan Lennard Struff,29.0,35.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,50.0
Denis Shapovalov,Stefanos Tsitsipas,14.0,6.0,Hard,Atp Cup,2020-01-06,0,53.125,68.18181818181817
Felix Auger Aliassime,Michail Pervolarakis,21.0,486.0,Hard,Atp Cup,2020-01-06,0,,
Nick Kyrgios,Stefanos Tsitsipas,29.0,6.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,68.18181818181817
John Millman,Michail Pervolarakis,48.0,486.0,Hard,Atp Cup,2020-01-06,0,,
Alex De Minaur,Denis Shapovalov,18.0,14.0,Hard,Atp Cup,2020-01-06,0,56.52173913043478,53.125
John Millman,Felix Auger Aliassime,48.0,21.0,Hard,Atp Cup,2020-01-06,0,58.06451612903226,54.761904761904766
Andrey Rublev,Corentin Moutet,23.0,81.0,Hard,Doha,2020-01-06,0,80.3921568627451,47.61904761904761
Corentin Moutet,Stan Wawrinka,81.0,15.0,Hard,Doha,2020-01-06,0,47.61904761904761,65.21739130434783
Andrey Rublev,Miomir Kecmanovic,23.0,62.0,Hard,Doha,2020-01-06,0,80.3921568627451,58.620689655172406
Stan Wawrinka,Aljaz Bedene,15.0,58.0,Hard,Doha,2020-01-06,0,65.21739130434783,45.45454545454545
Corentin Moutet,Fernando Verdasco,81.0,49.0,Hard,Doha,2020-01-06,0,47.61904761904761,46.15384615384615
Miomir Kecmanovic,Marton Fucsovics,62.0,70.0,Hard,Doha,2020-01-06,0,58.620689655172406,56.00000000000001
Andrey Rublev,Pierre Hugues Herbert,23.0,65.0,Hard,Doha,2020-01-06,0,80.3921568627451,50.0
Stan Wawrinka,Jeremy Chardy,15.0,54.0,Hard,Doha,2020-01-06,0,65.21739130434783,28.57142857142857
Aljaz Bedene,Alexander Bublik,58.0,55.0,Hard,Doha,2020-01-06,0,45.45454545454545,46.666666666666664
Corentin Moutet,Milos Raonic,81.0,32.0,Hard,Doha,2020-01-06,0,47.61904761904761,69.6969696969697
Fernando Verdasco,Filip Krajinovic,49.0,40.0,Hard,Doha,2020-01-06,0,46.15384615384615,57.14285714285714
Marton Fucsovics,Cem Ilkel,70.0,279.0,Hard,Doha,2020-01-06,0,56.00000000000001,25.0
Miomir Kecmanovic,Jo-Wilfried Tsonga,62.0,30.0,Hard,Doha,2020-01-06,0,,
Pierre Hugues Herbert,Laslo Djere,65.0,39.0,Hard,Doha,2020-01-06,0,50.0,59.09090909090909
Andrey Rublev,Mikhail Kukushkin,23.0,66.0,Hard,Doha,2020-01-06,0,80.3921568627451,37.5
Jeremy Chardy,Gregoire Barrere,54.0,83.0,Hard,Doha,2020-01-06,0,28.57142857142857,33.33333333333333
Aljaz Bedene,Mikael Ymer,58.0,76.0,Hard,Doha,2020-01-06,0,45.45454545454545,46.15384615384615
Alexander Bublik,Adrian Mannarino,55.0,43.0,Hard,Doha,2020-01-06,0,46.666666666666664,45.16129032258064
Corentin Moutet,Tennys Sandgren,81.0,68.0,Hard,Doha,2020-01-06,0,47.61904761904761,38.095238095238095
Fernando Verdasco,Pablo Andujar,49.0,64.0,Hard,Doha,2020-01-06,0,46.15384615384615,25.0
Filip Krajinovic,Kyle Edmund,40.0,69.0,Hard,Doha,2020-01-06,0,57.14285714285714,52.63157894736842
Marton Fucsovics,Frances Tiafoe,70.0,47.0,Hard,Doha,2020-01-06,0,56.00000000000001,45.0
Cem Ilkel,Ricardas Berankis,279.0,67.0,Hard,Doha,2020-01-06,0,25.0,50.0
Miomir Kecmanovic,Jordan Thompson,62.0,63.0,Hard,Doha,2020-01-06,0,58.620689655172406,47.82608695652174
Miomir Kecmanovic,Jordan Thompson,62.0,63.0,Hard,Doha,2020-01-06,0,58.620689655172406,47.82608695652174
Miomir Kecmanovic,Jordan Thompson,62.0,63.0,Hard,Doha,2020-01-06,0,58.620689655172406,47.82608695652174
Laslo Djere,Lorenzo Sonego,39.0,51.0,Hard,Doha,2020-01-06,0,59.09090909090909,46.15384615384615
Pierre Hugues Herbert,Marco Cecchinato,65.0,75.0,Hard,Doha,2020-01-06,0,50.0,38.095238095238095
Mikhail Kukushkin,Malek Jaziri,66.0,229.0,Hard,Doha,2020-01-06,0,37.5,50.0
Andrey Rublev,Lloyd Harris,18.0,91.0,Hard,Adelaide,2020-01-13,0,80.3921568627451,50.0
Lloyd Harris,Tommy Paul,91.0,90.0,Hard,Adelaide,2020-01-13,0,50.0,53.57142857142857
Andrey Rublev,Felix Auger Aliassime,18.0,22.0,Hard,Adelaide,2020-01-13,0,80.3921568627451,54.761904761904766
Tommy Paul,Albert Ramos,90.0,42.0,Hard,Adelaide,2020-01-13,0,53.57142857142857,39.130434782608695
Lloyd Harris,Pablo Carreno Busta,91.0,30.0,Hard,Adelaide,2020-01-13,0,50.0,62.5
Andrey Rublev,Daniel Evans,18.0,33.0,Hard,Adelaide,2020-01-13,0,80.3921568627451,57.57575757575758
Felix Auger Aliassime,Alex Bolt,22.0,157.0,Hard,Adelaide,2020-01-13,0,54.761904761904766,50.0
Felix Auger Aliassime,Alex Bolt,22.0,157.0,Hard,Adelaide,2020-01-13,0,54.761904761904766,50.0
Albert Ramos,Jaume Munar,42.0,88.0,Hard,Adelaide,2020-01-13,0,39.130434782608695,27.27272727272727
Tommy Paul,Pablo Cuevas,90.0,44.0,Hard,Adelaide,2020-01-13,0,53.57142857142857,36.36363636363637
Pablo Carreno Busta,Jeremy Chardy,30.0,56.0,Hard,Adelaide,2020-01-13,0,62.5,28.57142857142857
Lloyd Harris,Laslo Djere,91.0,40.0,Hard,Adelaide,2020-01-13,0,50.0,59.09090909090909
Daniel Evans,Alexander Bublik,33.0,55.0,Hard,Adelaide,2020-01-13,0,57.57575757575758,46.666666666666664
Andrey Rublev,Sam Querrey,18.0,45.0,Hard,Adelaide,2020-01-13,0,80.3921568627451,33.33333333333333
Andrey Rublev,Sam Querrey,18.0,45.0,Hard,Adelaide,2020-01-13,0,80.3921568627451,33.33333333333333
Alex Bolt,Jan Lennard Struff,157.0,37.0,Hard,Adelaide,2020-01-13,0,50.0,50.0
Felix Auger Aliassime,James Duckworth,22.0,96.0,Hard,Adelaide,2020-01-13,0,54.761904761904766,33.33333333333333
Albert Ramos,Jordan Thompson,42.0,65.0,Hard,Adelaide,2020-01-13,0,39.130434782608695,47.82608695652174
Tommy Paul,Aljaz Bedene,90.0,54.0,Hard,Adelaide,2020-01-13,0,53.57142857142857,45.45454545454545
Pablo Cuevas,Reilly Opelka,44.0,38.0,Hard,Adelaide,2020-01-13,0,36.36363636363637,60.0
Jeremy Chardy,Gilles Simon,56.0,60.0,Hard,Adelaide,2020-01-13,0,28.57142857142857,47.82608695652174
Laslo Djere,Alexei Popyrin,40.0,95.0,Hard,Adelaide,2020-01-13,0,59.09090909090909,28.57142857142857
Lloyd Harris,Cristian Garin,91.0,36.0,Hard,Adelaide,2020-01-13,0,50.0,60.0
Alexander Bublik,Taylor Fritz,55.0,32.0,Hard,Adelaide,2020-01-13,0,46.666666666666664,48.275862068965516
Daniel Evans,Juan Ignacio Londero,33.0,51.0,Hard,Adelaide,2020-01-13,0,57.57575757575758,47.368421052631575
Sam Querrey,Gregoire Barrere,45.0,82.0,Hard,Adelaide,2020-01-13,0,33.33333333333333,33.33333333333333
Jan Lennard Struff,Salvatore Caruso,37.0,94.0,Hard,Adelaide,2020-01-13,0,50.0,35.0
Alex Bolt,Stephane Robert,157.0,661.0,Hard,Adelaide,2020-01-13,0,,
James Duckworth,Federico Delbonis,96.0,73.0,Hard,Adelaide,2020-01-13,0,33.33333333333333,42.857142857142854
Ugo Humbert,Benoit Paire,57.0,24.0,Hard,Auckland,2020-01-13,0,66.66666666666666,43.47826086956522
Benoit Paire,Hubert Hurkacz,24.0,34.0,Hard,Auckland,2020-01-13,0,43.47826086956522,53.57142857142857
Ugo Humbert,John Isner,57.0,20.0,Hard,Auckland,2020-01-13,0,66.66666666666666,50.0
Hubert Hurkacz,Feliciano Lopez,34.0,61.0,Hard,Auckland,2020-01-13,0,53.57142857142857,41.17647058823529
Benoit Paire,John Millman,24.0,47.0,Hard,Auckland,2020-01-13,0,43.47826086956522,58.06451612903226
John Isner,Kyle Edmund,20.0,69.0,Hard,Auckland,2020-01-13,0,50.0,52.63157894736842
Ugo Humbert,Denis Shapovalov,57.0,13.0,Hard,Auckland,2020-01-13,0,66.66666666666666,53.125
Feliciano Lopez,Fabio Fognini,61.0,12.0,Hard,Auckland,2020-01-13,0,41.17647058823529,33.33333333333333
Hubert Hurkacz,Mikael Ymer,34.0,77.0,Hard,Auckland,2020-01-13,0,53.57142857142857,46.15384615384615
John Millman,Karen Khachanov,47.0,16.0,Hard,Auckland,2020-01-13,0,58.06451612903226,57.14285714285714
Benoit Paire,Thiago Monteiro,24.0,86.0,Hard,Auckland,2020-01-13,0,43.47826086956522,44.44444444444444
Kyle Edmund,Andreas Seppi,69.0,84.0,Hard,Auckland,2020-01-13,0,52.63157894736842,50.0
Kyle Edmund,Andreas Seppi,69.0,84.0,Hard,Auckland,2020-01-13,0,52.63157894736842,50.0
John Isner,Tennys Sandgren,20.0,101.0,Hard,Auckland,2020-01-13,0,50.0,38.095238095238095
Ugo Humbert,Marco Cecchinato,57.0,76.0,Hard,Auckland,2020-01-13,0,66.66666666666666,38.095238095238095
Denis Shapovalov,Vasek Pospisil,13.0,146.0,Hard,Auckland,2020-01-13,0,53.125,61.53846153846154
Feliciano Lopez,Pablo Andujar,61.0,63.0,Hard,Auckland,2020-01-13,0,41.17647058823529,25.0
Mikael Ymer,Frances Tiafoe,77.0,49.0,Hard,Auckland,2020-01-13,0,46.15384615384615,45.0
Hubert Hurkacz,Lorenzo Sonego,34.0,52.0,Hard,Auckland,2020-01-13,0,53.57142857142857,46.15384615384615
John Millman,Michael Mmoh,47.0,227.0,Hard,Auckland,2020-01-13,0,58.06451612903226,33.33333333333333
Thiago Monteiro,Cameron Norrie,86.0,62.0,Hard,Auckland,2020-01-13,0,44.44444444444444,40.909090909090914
Benoit Paire,Jannik Sinner,24.0,79.0,Hard,Auckland,2020-01-13,0,43.47826086956522,64.51612903225806
Andreas Seppi,Adrian Mannarino,84.0,43.0,Hard,Auckland,2020-01-13,0,50.0,45.16129032258064
Kyle Edmund,Alejandro Davidovich Fokina,69.0,85.0,Hard,Auckland,2020-01-13,0,52.63157894736842,56.52173913043478
Tennys Sandgren,Michael Venus,101.0,,Hard,Auckland,2020-01-13,0,,
Marco Cecchinato,Leonardo Mayer,76.0,100.0,Hard,Auckland,2020-01-13,0,,
Ugo Humbert,Casper Ruud,57.0,46.0,Hard,Auckland,2020-01-13,0,66.66666666666666,62.857142857142854
Ugo Humbert,Casper Ruud,57.0,46.0,Hard,Auckland,2020-01-13,0,66.66666666666666,62.857142857142854
Vasek Pospisil,Joao Sousa,146.0,58.0,Hard,Auckland,2020-01-13,0,61.53846153846154,10.0
Rafael Nadal,Hugo Dellien,1.0,73.0,Hard,Australian Open,2020-01-20,0,79.41176470588235,36.36363636363637
Federico Delbonis,Joao Sousa,76.0,59.0,Hard,Australian Open,2020-01-20,0,42.857142857142854,10.0
Peter Gojowczyk,Christopher Eubanks,120.0,221.0,Hard,Australian Open,2020-01-20,0,,
Pablo Carreno Busta,Jozef Kovalik,30.0,139.0,Hard,Australian Open,2020-01-20,0,62.5,14.285714285714285
Nick Kyrgios,Lorenzo Sonego,26.0,53.0,Hard,Australian Open,2020-01-20,0,66.66666666666666,46.15384615384615
Gilles Simon,Pablo Cuevas,61.0,46.0,Hard,Australian Open,2020-01-20,0,47.82608695652174,36.36363636363637
Mikael Ymer,Yasutaka Uchiyama,78.0,93.0,Hard,Australian Open,2020-01-20,0,46.15384615384615,12.5
Karen Khachanov,Mario Vilella Martinez,17.0,196.0,Hard,Australian Open,2020-01-20,0,,
Gael Monfils,Yen Hsun Lu,10.0,,Hard,Australian Open,2020-01-20,0,,
Ivo Karlovic,Vasek Pospisil,124.0,138.0,Hard,Australian Open,2020-01-20,0,20.0,61.53846153846154
Aljaz Bedene,James Duckworth,55.0,94.0,Hard,Australian Open,2020-01-20,0,45.45454545454545,33.33333333333333
Ernests Gulbis,Felix Auger Aliassime,256.0,22.0,Hard,Australian Open,2020-01-20,0,66.66666666666666,54.761904761904766
Taylor Fritz,Tallon Griekspoor,34.0,175.0,Hard,Australian Open,2020-01-20,0,,
Kevin Anderson,Ilya Ivashka,122.0,149.0,Hard,Australian Open,2020-01-20,0,50.0,37.5
Alex Bolt,Albert Ramos,140.0,42.0,Hard,Australian Open,2020-01-20,0,50.0,39.130434782608695
Dominic Thiem,Adrian Mannarino,5.0,44.0,Hard,Australian Open,2020-01-20,0,73.52941176470588,45.16129032258064
Daniil Medvedev,Frances Tiafoe,4.0,50.0,Hard,Australian Open,2020-01-20,0,73.68421052631578,45.0
Daniil Medvedev,Frances Tiafoe,4.0,50.0,Hard,Australian Open,2020-01-20,0,73.68421052631578,45.0
Pedro Martinez,Dominik Koepfer,168.0,89.0,Hard,Australian Open,2020-01-20,0,52.94117647058824,53.84615384615385
Jaume Munar,Hugo Gaston,90.0,247.0,Hard,Australian Open,2020-01-20,0,27.27272727272727,50.0
Alexei Popyrin,Jo-Wilfried Tsonga,96.0,33.0,Hard,Australian Open,2020-01-20,0,,
John Isner,Thiago Monteiro,19.0,86.0,Hard,Australian Open,2020-01-20,0,50.0,44.44444444444444
Alejandro Tabilo,Daniel Elahi Galan,208.0,186.0,Hard,Australian Open,2020-01-20,0,50.0,57.14285714285714
Andreas Seppi,Miomir Kecmanovic,85.0,54.0,Hard,Australian Open,2020-01-20,0,50.0,58.620689655172406
Stan Wawrinka,Damir Dzumhur,15.0,92.0,Hard,Australian Open,2020-01-20,0,65.21739130434783,20.0
David Goffin,Jeremy Chardy,11.0,58.0,Hard,Australian Open,2020-01-20,0,52.17391304347826,28.57142857142857
Pierre Hugues Herbert,Cameron Norrie,64.0,62.0,Hard,Australian Open,2020-01-20,0,50.0,40.909090909090914
Yuichi Sugita,Elliot Benchetrit,91.0,231.0,Hard,Australian Open,2020-01-20,0,,
Andrey Rublev,Christopher Oconnell,16.0,115.0,Hard,Australian Open,2020-01-20,0,80.3921568627451,33.33333333333333
Nikoloz Basilashvili,Soon Woo Kwon,29.0,87.0,Hard,Australian Open,2020-01-20,0,23.52941176470588,53.333333333333336
Fernando Verdasco,Evgeny Donskoy,51.0,106.0,Hard,Australian Open,2020-01-20,0,46.15384615384615,20.0
Egor Gerasimov,Casper Ruud,98.0,48.0,Hard,Australian Open,2020-01-20,0,56.52173913043478,62.857142857142854
Alexander Zverev,Marco Cecchinato,7.0,77.0,Hard,Australian Open,2020-01-20,0,71.7948717948718,38.095238095238095
Alexander Zverev,Marco Cecchinato,7.0,77.0,Hard,Australian Open,2020-01-20,0,71.7948717948718,38.095238095238095
Matteo Berrettini,Andrew Harris,8.0,162.0,Hard,Australian Open,2020-01-20,0,,
Tennys Sandgren,Marco Trungelliti,100.0,202.0,Hard,Australian Open,2020-01-20,0,,
Ricardas Berankis,Roberto Carballes Baena,69.0,83.0,Hard,Australian Open,2020-01-20,0,50.0,42.857142857142854
Sam Querrey,Borna Coric,45.0,28.0,Hard,Australian Open,2020-01-20,0,33.33333333333333,57.14285714285714
Guido Pella,John Patrick Smith,25.0,308.0,Hard,Australian Open,2020-01-20,0,,
Gregoire Barrere,Mohamed Safwat,84.0,173.0,Hard,Australian Open,2020-01-20,0,33.33333333333333,20.0
Jordan Thompson,Alexander Bublik,66.0,56.0,Hard,Australian Open,2020-01-20,0,47.82608695652174,46.666666666666664
Fabio Fognini,Reilly Opelka,12.0,38.0,Hard,Australian Open,2020-01-20,0,33.33333333333333,60.0
Marton Fucsovics,Denis Shapovalov,67.0,13.0,Hard,Australian Open,2020-01-20,0,56.00000000000001,53.125
Jannik Sinner,Max Purcell,82.0,216.0,Hard,Australian Open,2020-01-20,0,,
Tommy Paul,Leonardo Mayer,80.0,101.0,Hard,Australian Open,2020-01-20,0,,
Grigor Dimitrov,Juan Ignacio Londero,20.0,52.0,Hard,Australian Open,2020-01-20,0,63.33333333333333,47.368421052631575
Hubert Hurkacz,Dennis Novak,31.0,99.0,Hard,Australian Open,2020-01-20,0,53.57142857142857,33.33333333333333
John Millman,Ugo Humbert,47.0,43.0,Hard,Australian Open,2020-01-20,0,58.06451612903226,66.66666666666666
Filip Krajinovic,Quentin Halys,41.0,215.0,Hard,Australian Open,2020-01-20,0,,
Roger Federer,Steve Johnson,3.0,75.0,Hard,Australian Open,2020-01-20,0,83.33333333333334,42.857142857142854
Stefanos Tsitsipas,Salvatore Caruso,6.0,95.0,Hard,Australian Open,2020-01-20,0,68.18181818181817,35.0
Philipp Kohlschreiber,Marcos Giron,79.0,107.0,Hard,Australian Open,2020-01-20,0,20.0,50.0
Cristian Garin,Stefano Travaglia,36.0,74.0,Hard,Australian Open,2020-01-20,0,60.0,37.5
Milos Raonic,Lorenzo Giustino,35.0,150.0,Hard,Australian Open,2020-01-20,0,69.6969696969697,33.33333333333333
Benoit Paire,Cedrik Marcel Stebe,21.0,154.0,Hard,Australian Open,2020-01-20,0,43.47826086956522,40.0
Marin Cilic,Corentin Moutet,39.0,70.0,Hard,Australian Open,2020-01-20,0,55.55555555555556,47.61904761904761
Marin Cilic,Corentin Moutet,39.0,70.0,Hard,Australian Open,2020-01-20,0,55.55555555555556,47.61904761904761
Michael Mmoh,Pablo Andujar,217.0,63.0,Hard,Australian Open,2020-01-20,0,33.33333333333333,25.0
Roberto Bautista Agut,Feliciano Lopez,9.0,57.0,Hard,Australian Open,2020-01-20,0,71.42857142857143,41.17647058823529
